선수명,팀,ERA,G,W,L,SV,HLD,WPCT,IP,H,HR,BB,HBP,SO,R,ER,WHIP,CG,SHO,QS,BSV,TBF,NP,AVG,2B,3B,SAC,SF,IBB,WP,BK,시즌,IP_float,FIP,xFIP,ERA+,K/9,BB/9,K/BB,pWAR
원태인,삼성,3.24,27,12,4,0,0,0.75,166 2/3,157,20,27,6,108,66,60,1.104,0,0,20,0,671,2493,0.253,32,2,11,6,1,1,0,2025,166.66666666666666,3.96,3.96,133.6,5.83,1.46,4.0,1.99
양창섭,삼성,3.43,33,3,3,0,2,0.5,63,67,3,19,9,45,29,24,1.365,0,0,0,0,276,969,0.278,10,0,3,4,1,4,0,2025,63.0,3.62,3.62,126.2,6.43,2.71,2.37,1.0
이승민,삼성,3.78,62,3,2,0,8,0.6,64 1/3,61,5,26,3,53,37,27,1.352,0,0,0,0,280,1068,0.249,15,2,5,1,2,1,0,2025,64.33333333333333,3.82,3.82,114.5,7.41,3.64,2.04,0.87
배찬승,삼성,3.91,65,2,3,0,19,0.4,50 2/3,50,3,34,2,57,25,22,1.658,0,0,0,2,233,962,0.259,11,0,4,0,1,5,0,2025,50.666666666666664,3.75,3.75,110.7,10.12,6.04,1.68,0.73
레예스,삼성,4.14,10,4,3,0,0,0.571,50,51,5,12,3,35,26,23,1.26,0,0,2,0,215,844,0.264,7,1,3,4,0,0,0,2025,50.0,3.9,3.9,104.6,6.3,2.16,2.92,0.63
김태훈,삼성,4.48,73,2,6,2,19,0.25,66 1/3,66,8,26,2,74,34,33,1.387,0,0,0,5,287,1122,0.259,13,0,1,3,3,4,0,2025,66.33333333333333,3.7,3.7,96.6,10.04,3.53,2.85,0.99
송은범,삼성,4.5,5,0,0,0,0,,6,9,0,3,0,2,3,3,2.0,0,0,0,0,28,93,0.375,2,0,1,0,0,3,0,2025,6.0,3.93,3.93,96.2,3.0,4.5,0.67,0.07
홍원표,삼성,4.5,2,0,1,0,0,0.0,2,3,0,2,1,1,1,1,,0,0,0,0,12,40,0.429,0,0,1,1,1,0,0,2025,2.0,,,,,,,
임창민,삼성,4.85,16,1,0,0,2,1.0,13,17,5,7,1,6,8,7,1.846,0,0,0,1,63,263,0.321,2,0,1,1,1,0,0,2025,13.0,9.02,9.02,89.3,4.15,4.85,0.86,-0.6
최원태,삼성,4.92,27,8,7,0,0,0.533,124 1/3,128,13,51,12,109,72,68,1.44,0,0,8,0,552,2137,0.271,21,0,10,7,1,9,0,2025,124.33333333333333,4.23,4.23,88.0,7.89,3.69,2.14,1.1
김재윤,삼성,4.99,63,4,7,13,3,0.364,57 2/3,57,10,13,1,43,34,32,1.214,0,0,0,3,242,938,0.253,12,2,2,1,3,1,0,2025,57.666666666666664,4.59,4.59,86.8,6.71,2.03,3.31,0.27
김대호,삼성,5.14,11,0,1,0,0,0.0,21,25,3,15,1,19,13,12,1.905,0,0,0,0,105,392,0.291,6,0,1,2,0,1,0,2025,21.0,5.43,5.43,84.2,8.14,6.43,1.27,-0.1
육선엽,삼성,5.34,27,0,1,0,1,0.0,28 2/3,23,4,24,0,19,21,17,1.64,0,0,0,0,133,564,0.217,3,0,3,0,0,2,0,2025,28.666666666666668,6.1,6.1,81.1,5.97,7.53,0.79,-0.36
이승현,삼성,5.42,25,4,9,0,0,0.308,101 1/3,121,10,46,9,74,64,61,1.648,0,0,2,0,471,1840,0.298,23,2,7,3,0,2,0,2025,101.33333333333333,4.55,4.55,79.9,6.57,4.09,1.61,0.52
이호성,삼성,6.34,58,7,4,9,3,0.636,55 1/3,54,7,29,2,69,44,39,1.5,0,0,0,4,252,1032,0.252,7,2,3,4,0,0,1,2025,55.333333333333336,3.93,3.93,68.3,11.22,4.72,2.38,0.68
황동재,삼성,6.97,15,0,1,0,0,0.0,20 2/3,27,1,14,2,22,16,16,1.984,0,0,0,0,104,403,0.31,2,0,0,1,0,3,0,2025,20.666666666666668,3.92,3.92,62.1,9.58,6.1,1.57,0.26
오승환,삼성,8.0,12,0,0,0,0,,9,15,1,3,0,7,8,8,2.0,0,0,0,0,45,173,0.366,5,0,0,1,0,1,0,2025,9.0,3.99,3.99,54.1,7.0,3.0,2.33,0.1
최성훈,삼성,9.0,2,0,0,0,0,,1,1,0,1,0,1,1,1,,0,0,0,0,5,20,0.25,0,0,0,0,0,0,0,2025,1.0,,,,,,,
정민성,삼성,36.0,1,0,1,0,0,0.0,1,3,0,0,2,0,4,4,,0,0,0,0,7,23,0.6,2,1,0,0,0,1,0,2025,1.0,,,,,,,
최충연,삼성,37.8,4,0,0,0,0,,1 2/3,7,1,2,1,1,8,7,,0,0,0,0,15,60,0.583,1,0,0,0,0,0,0,2025,1.6666666666666665,,,,,,,
폰세,한화,1.89,29,17,1,0,0,0.944,180 2/3,128,10,41,6,252,41,38,0.935,0,0,20,0,697,2854,0.199,18,0,3,4,0,7,3,2025,180.66666666666666,1.81,1.81,222.2,12.55,2.04,6.15,6.4
김범수,한화,2.25,73,2,1,2,6,0.667,48,30,0,22,4,41,17,12,1.083,0,0,0,0,195,780,0.181,5,0,2,1,1,1,0,2025,48.0,3.02,3.02,186.7,7.69,4.12,1.86,1.06
한승혁,한화,2.25,71,3,3,3,16,0.5,64,56,4,23,7,53,18,16,1.234,0,0,0,5,269,1002,0.236,5,1,2,0,1,3,0,2025,64.0,3.66,3.66,186.7,7.45,3.23,2.3,0.95
